Rank,Game Name,Free to Play,Current Players,Peek Today,Collection Date
1,Counter-Strike 2,1,605826,1115470,2023-11-02
2,Dota 2,1,306725,692957,2023-11-02
3,Apex Legends™,1,112267,432698,2023-11-02
4,Rust,0,110880,138916,2023-11-02
5,The Finals Playtest,0,107602,200214,2023-11-02
6,Baldur's Gate 3,0,107338,133378,2023-11-02
7,Call of Duty®,0,95296,116441,2023-11-02
8,Team Fortress 2,1,86845,100962,2023-11-02
9,ARK: Survival Ascended,0,73364,77596,2023-11-02
10,PUBG: BATTLEGROUNDS,1,67101,420855,2023-11-02
11,Grand Theft Auto V,0,61585,138764,2023-11-02
12,War Thunder,1,59436,101264,2023-11-02
13,Unturned,1,50006,55231,2023-11-02
14,Lost Ark,1,48929,61689,2023-11-02
15,Tom Clancy's Rainbow Six® Siege,0,45015,51746,2023-11-02
16,Cyberpunk 2077,0,43963,59753,2023-11-02
17,Wallpaper Engine,0,37079,114502,2023-11-02
18,Warframe,1,35198,63182,2023-11-02
19,EA SPORTS FC™ 24,0,35067,54904,2023-11-02
20,New World,0,34810,42544,2023-11-02
21,Dead by Daylight,0,34680,44452,2023-11-02
22,Destiny 2,1,34127,37632,2023-11-02
23,DayZ,0,34063,49679,2023-11-02
24,Sid Meier’s Civilization® VI,0,32740,51503,2023-11-02
25,Project Zomboid,0,32610,38227,2023-11-02
26,ARK: Survival Evolved,0,32421,54489,2023-11-02
27,Cities: Skylines II,0,31670,43510,2023-11-02
28,FINAL FANTASY XIV Online,0,29549,31832,2023-11-02
29,Starfield,0,29331,32685,2023-11-02
30,Rocket League®,0,29134,36527,2023-11-02
31,7 Days to Die,0,29112,50047,2023-11-02
32,PAYDAY 2,0,29006,33434,2023-11-02
33,Stardew Valley,0,28849,33952,2023-11-02
34,MIR4,1,28619,30386,2023-11-02
35,Hearts of Iron IV,0,26653,42610,2023-11-02
36,Terraria,0,26550,41957,2023-11-02
37,The Sims™ 4,1,26262,31402,2023-11-02
38,Euro Truck Simulator 2,0,25519,58975,2023-11-02
39,ELDEN RING,0,24507,45364,2023-11-02
40,Phasmophobia,0,23100,36883,2023-11-02
41,VRChat,1,21722,25853,2023-11-02
42,Football Manager 2023,0,20973,30650,2023-11-02
43,The Elder Scrolls V: Skyrim Special Edition,0,20947,23658,2023-11-02
44,Red Dead Redemption 2,0,20839,47601,2023-11-02
45,tModLoader,0,20282,30208,2023-11-02
46,Brawlhalla,1,20151,24018,2023-11-02
47,Geometry Dash,0,19654,22908,2023-11-02
48,Farming Simulator 22,0,19507,41998,2023-11-02
49,Valheim,0,19478,25983,2023-11-02
50,Garry's Mod,0,19462,27001,2023-11-02
51,Left 4 Dead 2,0,18929,26728,2023-11-02
52,RimWorld,0,18833,21046,2023-11-02
53,Overwatch® 2,1,18204,33501,2023-11-02
54,For The King II,0,17961,21415,2023-11-02
55,Age of Empires II: Definitive Edition,0,17644,23590,2023-11-02
56,Black Desert,0,16854,19873,2023-11-02
57,Hunt: Showdown,0,16340,27758,2023-11-02
58,Bloons TD 6,0,16094,18104,2023-11-02
59,Warhammer 40_000: Darktide,0,15508,17858,2023-11-02
60,Sid Meier's Civilization® V,0,15139,18394,2023-11-02
61,Path of Exile,1,15050,19092,2023-11-02
62,The Binding of Isaac: Rebirth,0,14858,21626,2023-11-02
63,Fallout 4,0,14101,16408,2023-11-02
64,Europa Universalis IV,0,14101,18965,2023-11-02
65,NARAKA: BLADEPOINT,1,13680,267124,2023-11-02
66,The Forest,0,13642,52187,2023-11-02
67,Total War: WARHAMMER III,0,13558,17844,2023-11-02
68,Factorio,0,13380,17594,2023-11-02
69,The Elder Scrolls® Online,0,13298,17564,2023-11-02
70,SMITE®,1,12946,14160,2023-11-02
71,Governor of Poker 3,1,12741,13568,2023-11-02
72,Don't Starve Together,0,12675,60701,2023-11-02
73,Crusader Kings III,0,12610,15664,2023-11-02
74,Monster Hunter: World,0,12605,41572,2023-11-02
75,Cookie Clicker,0,12287,13400,2023-11-02
76,Yu-Gi-Oh! Master Duel,1,12138,23046,2023-11-02
77,EA SPORTS™ FIFA 23,0,11920,19967,2023-11-02
78,Deep Rock Galactic,0,11905,16630,2023-11-02
79,Soundpad,0,11874,15695,2023-11-02
80,Mount & Blade II: Bannerlord,0,11463,19455,2023-11-02
81,Battlefield™ 2042,0,11402,54703,2023-11-02
82,Backpack Battles Demo,0,11065,13716,2023-11-02
83,BeamNG.drive,0,10814,14795,2023-11-02
84,Arma 3,0,10573,14535,2023-11-02
85,Stellaris,0,10543,13244,2023-11-02
86,Cities: Skylines,0,10312,18482,2023-11-02
87,Marvel’s Spider-Man Remastered,0,10222,11760,2023-11-02
88,eFootball™ 2024,1,9676,15633,2023-11-02
89,Conan Exiles,0,9590,11620,2023-11-02
90,Sea of Thieves 2023 Edition,0,9036,13199,2023-11-02
91,Farlight 84,1,9000,19500,2023-11-02
92,Hogwarts Legacy,0,8660,12753,2023-11-02
93,Halo Infinite,1,8534,12042,2023-11-02
94,Assetto Corsa,0,8523,13361,2023-11-02
95,Fallout 76,0,8431,10260,2023-11-02
96,Slay the Spire,0,8323,17209,2023-11-02
97,Sons Of The Forest,0,8279,12484,2023-11-02
98,Risk of Rain 2,0,8093,8408,2023-11-02
99,Stumble Guys,1,8022,14122,2023-11-02
100,IdleOn - The Idle MMO,1,7823,8755,2023-11-02
