title,url,Price,Discounted Price,Release Date,App ID
Counter-Strike: Global Offensive,https://store.steampowered.com/app/730/CounterStrike_Global_Offensive/?snr=1_7_7_7000_150_1,Free to Play,Free to Play,8/21/2012,730
Apex Legends™,https://store.steampowered.com/app/1172470/Apex_Legends/?snr=1_7_7_7000_150_1,Free to Play,Free to Play,11/4/2020,1172470
Destiny 2,https://store.steampowered.com/app/1085660/Destiny_2/?snr=1_7_7_7000_150_1,Free To Play,Free To Play,10/1/2019,1085660
The Sims™ 4,https://store.steampowered.com/app/1222670/The_Sims_4/?snr=1_7_7_7000_150_1,Free To Play,Free To Play,9/2/2014,1222670
Lost Ark,https://store.steampowered.com/app/1599340/Lost_Ark/?snr=1_7_7_7000_150_1,Free To Play,Free To Play,2/11/2022,1599340
War Thunder,https://store.steampowered.com/app/236390/War_Thunder/?snr=1_7_7_7000_150_1,Free to Play,Free to Play,8/15/2013,236390
Warframe,https://store.steampowered.com/app/230410/Warframe/?snr=1_7_7_7000_150_1,Free to Play,Free to Play,3/25/2013,230410
Team Fortress 2,https://store.steampowered.com/app/440/Team_Fortress_2/?snr=1_7_7_7000_150_2,Free to Play,Free to Play,10/10/2007,440
MapleStory,https://store.steampowered.com/app/216150/MapleStory/?snr=1_7_7_7000_150_2,Free to Play,Free to Play,8/9/2012,216150
SMITE®,https://store.steampowered.com/app/386360/SMITE/?snr=1_7_7_7000_150_3,Free to Play,Free to Play,9/8/2015,386360
DCS World Steam Edition,https://store.steampowered.com/app/223750/DCS_World_Steam_Edition/?snr=1_7_7_7000_150_3,Free,Free,3/18/2018,223750
World of Warships,https://store.steampowered.com/app/552990/World_of_Warships/?snr=1_7_7_7000_150_4,Free to Play,Free to Play,11/15/2017,552990
STAR WARS™: The Old Republic™,https://store.steampowered.com/app/1286830/STAR_WARS_The_Old_Republic/?snr=1_7_7_7000_150_4,Free To Play,Free To Play,12/20/2011,1286830
Halo Infinite,https://store.steampowered.com/app/1240440/Halo_Infinite/?snr=1_7_7_7000_150_4,Free To Play,Free To Play,11/15/2021,1240440
Phantasy Star Online 2 New Genesis,https://store.steampowered.com/app/1056640/Phantasy_Star_Online_2_New_Genesis/?snr=1_7_7_7000_150_4,Free To Play,Free To Play,8/5/2020,1056640
Magic: The Gathering Arena,https://store.steampowered.com/app/2141910/Magic_The_Gathering_Arena/?snr=1_7_7_7000_150_4,Free To Play,Free To Play,5/23/2023,2141910
Yu-Gi-Oh! Master Duel,https://store.steampowered.com/app/1449850/YuGiOh_Master_Duel/?snr=1_7_7_7000_150_4,Free To Play,Free To Play,1/18/2022,1449850
Guild Wars 2,https://store.steampowered.com/app/1284210/Guild_Wars_2/?snr=1_7_7_7000_150_4,Free To Play,Free To Play,8/23/2022,1284210
MOBILE SUIT GUNDAM BATTLE OPERATION 2,https://store.steampowered.com/app/1367080/MOBILE_SUIT_GUNDAM_BATTLE_OPERATION_2/?snr=1_7_7_7000_150_5,Free to Play,Free to Play,5/30/2023,1367080
Path of Exile,https://store.steampowered.com/app/238960/Path_of_Exile/?snr=1_7_7_7000_150_5,Free to Play,Free to Play,10/23/2013,238960
VRChat,https://store.steampowered.com/app/438100/VRChat/?snr=1_7_7_7000_150_5,Free To Play,Free To Play,2/1/2017,438100
PUBG: BATTLEGROUNDS,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_7000_150_5,Free to Play,Free to Play,12/21/2017,578080
Brawlhalla,https://store.steampowered.com/app/291550/Brawlhalla/?snr=1_7_7_7000_150_6,Free to Play,Free to Play,10/17/2017,291550
Dota 2,https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_7000_150_6,Free to Play,Free to Play,7/9/2013,570
MARVEL SNAP,https://store.steampowered.com/app/1997040/MARVEL_SNAP/?snr=1_7_7_7000_150_6,Free,Free,10/18/2022,1997040
RuneScape ®,https://store.steampowered.com/app/1343400/RuneScape/?snr=1_7_7_7000_150_6,Free To Play,Free To Play,10/14/2020,1343400
Wizard101,https://store.steampowered.com/app/799960/Wizard101/?snr=1_7_7_7000_150_7,Free To Play,Free To Play,9/2/2008,799960
IdleOn - The Idle MMO,https://store.steampowered.com/app/1476970/IdleOn__The_Idle_MMO/?snr=1_7_7_7000_150_7,Free To Play,Free To Play,4/2/2021,1476970
