Rank,Game Name,Free to Play,App ID,Collection Date
1,CounterStrike Global Offensive,1,730,2023-07-25
2,Remnant II,0,1282100,2023-07-25
3,Baldurs Gate 3,0,1086940,2023-07-25
4,Steam Deck,0,1675200,2023-07-25
5,Apex Legends,1,1172470,2023-07-25
6,Dead by Daylight,0,381210,2023-07-25
7,Ratchet  Clank Rift Apart,0,1895880,2023-07-25
8,Call of Duty,0,1938090,2023-07-25
9,Warframe,1,230410,2023-07-25
10,BattleBit Remastered,0,671860,2023-07-25
11,Tom Clancys Rainbow Six Siege,0,359550,2023-07-25
12,Team Fortress 2,1,440,2023-07-25
13,War Thunder,1,236390,2023-07-25
14,STARFIELD,0,1716740,2023-07-25
15,Black Desert,0,582660,2023-07-25
16,Destiny 2,1,1085660,2023-07-25
17,Dead by Daylight  Nicolas Cage Chapter Pack,0,2469400,2023-07-25
18,Rust,0,252490,2023-07-25
19,Call of Duty Black Ops III,0,311210,2023-07-25
20,The Elder Scrolls Online,0,306130,2023-07-25
21,FINAL FANTASY XIV Online,0,39210,2023-07-25
22,The Sims 4,1,1222670,2023-07-25
23,Red Dead Redemption 2,0,1174180,2023-07-25
24,Grand Theft Auto V,0,271590,2023-07-25
25,ARMORED CORE VI FIRES OF RUBICON,0,1888160,2023-07-25
26,Lost Ark,0,1599340,2023-07-25
27,Valve Index Headset,0,1059530,2023-07-25
28,FOR HONOR,0,304390,2023-07-25
29,Street Fighter 6,0,1364780,2023-07-25
30,Arma 3,0,107410,2023-07-25
31,Hunt Showdown,0,594650,2023-07-25
32,HITMAN 3,0,1659040,2023-07-25
33,Five Nights at Freddys Security Breach,0,747660,2023-07-25
34,Call of Duty Black Ops II,0,202970,2023-07-25
35,DAVE THE DIVER,0,1868140,2023-07-25
36,Arma 3 Creator DLC Spearhead 1944,0,1175380,2023-07-25
37,Tom Clancys Ghost Recon Breakpoint,0,2231380,2023-07-25
38,NARAKA BLADEPOINT,1,1203220,2023-07-25
39,Fallout 76,0,1151340,2023-07-25
40,Ready or Not,0,1144200,2023-07-25
41,ELDEN RING,0,1245620,2023-07-25
42,MahjongSoul,0,1329410,2023-07-25
43,Assassins Creed Valhalla,0,2208920,2023-07-25
44,Sons Of The Forest,0,1326470,2023-07-25
45,YuGiOh Master Duel,1,1449850,2023-07-25
46,Sea of Thieves 2023 Edition,0,1172620,2023-07-25
47,Project Zomboid,0,108600,2023-07-25
48,MapleStory,0,216150,2023-07-25
49,Sniper Elite 5,0,1029690,2023-07-25
50,Phasmophobia,0,739630,2023-07-25
51,American Truck Simulator,0,270880,2023-07-25
52,Cyberpunk 2077,0,1091500,2023-07-25
53,Far Cry 6,0,2369390,2023-07-25
54,Microsoft Flight Simulator 40th Anniversary Edition,0,1250410,2023-07-25
55,Tom Clancys Ghost Recon Wildlands,0,460930,2023-07-25
56,EA SPORTS FIFA 23,0,1811260,2023-07-25
57,Borderlands 3,0,397540,2023-07-25
58,Batman Arkham Knight,0,208650,2023-07-25
59,HalfLife Alyx,0,546560,2023-07-25
60,The Sims 4 Horse Ranch Expansion Pack,0,1990600,2023-07-25
61,Call of Duty Black Ops Cold War,0,1985810,2023-07-25
62,Shadows of Doubt,0,986130,2023-07-25
63,RimWorld,0,294100,2023-07-25
64,Stellaris,0,281990,2023-07-25
65,F1 23,0,2108330,2023-07-25
66,SMITE,1,386360,2023-07-25
67,Assassins Creed Odyssey,0,812140,2023-07-25
68,Stardew Valley,0,413150,2023-07-25
69,Six Days in Fallujah,0,1548850,2023-07-25
70,Hogwarts Legacy,0,990080,2023-07-25
71,World of Warships,1,552990,2023-07-25
72,PUBG BATTLEGROUNDS,1,578080,2023-07-25
73,Path of Exile,1,238960,2023-07-25
74,Warhammer 40000 Chaos Gate  Daemonhunters,0,1611910,2023-07-25
75,Farming Simulator 22,0,1248130,2023-07-25
76,STAR WARS The Old Republic,1,1286830,2023-07-25
77,Phantasy Star Online 2 New Genesis,1,1056640,2023-07-25
78,Cities Skylines,0,255710,2023-07-25
79,Sid Meiers Civilization VI,0,289070,2023-07-25
80,The Elder Scrolls V Skyrim Special Edition,0,489830,2023-07-25
81,Aliens Dark Descent,0,1150440,2023-07-25
82,Tiny Tinas Wonderlands,0,1286680,2023-07-25
83,Deadlink,0,1676130,2023-07-25
84,NBA 2K23,0,1919590,2023-07-25
85,MONSTER HUNTER RISE,0,1446780,2023-07-25
86,Generation Zero,0,704270,2023-07-25
87,Total War WARHAMMER III,0,1142710,2023-07-25
88,DayZ,0,221100,2023-07-25
89,F1 Manager 2023,0,2287220,2023-07-25
90,Dying Light 2 Stay Human,0,534380,2023-07-25
91,The Witcher 3 Wild Hunt,0,292030,2023-07-25
92,Lets School,0,1937500,2023-07-25
93,Exoprimal,0,1286320,2023-07-25
94,VRChat,1,438100,2023-07-25
95,Deep Rock Galactic,0,548430,2023-07-25
96,Raft,0,648800,2023-07-25
97,Risk of Rain 2,0,632360,2023-07-25
98,SCP 5K,0,872670,2023-07-25
99,BeamNGdrive,0,284160,2023-07-25
100,New World,0,1063730,2023-07-25
